Date,Greenland AWP,Canada,USA 48,eastern Canada,Central Canada,Canadian Rockies,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
2009-344,0.003,0.579,4.491,1.111,0.663,0.76,0.019,0.097,3.648,2.693,5.447,2.232
2009-345,0.003,0.571,4.567,1.099,0.653,0.744,0.018,0.095,3.85,2.848,5.409,2.234
2009-346,0.003,0.568,4.531,1.102,0.644,0.734,0.017,0.092,3.79,2.89,5.379,2.072
2009-347,0.003,0.563,4.576,1.104,0.636,0.716,0.017,0.09,4.015,2.939,5.541,2.085
2009-348,0.003,0.557,4.729,1.095,0.629,0.705,0.016,0.088,4.04,3.187,5.571,2.353
2009-349,0.002,0.552,4.733,1.087,0.623,0.695,0.016,0.087,4.241,3.23,5.508,2.294
2009-350,0.002,0.548,4.743,1.082,0.617,0.689,0.015,0.085,4.176,3.243,5.488,2.338
2009-351,0.002,0.544,4.737,1.075,0.612,0.684,0.015,0.084,4.077,3.238,5.47,2.373
2009-352,0.002,0.541,4.683,1.069,0.608,0.68,0.015,0.083,4.008,3.275,5.455,2.372
2009-353,0.002,0.533,4.428,1.042,0.605,0.676,0.015,0.082,2.75,2.879,5.443,2.472
2009-354,0.002,0.534,4.457,1.049,0.602,0.677,0.014,0.082,2.665,2.944,5.434,2.59
2009-355,0.002,0.528,4.447,1.03,0.601,0.675,0.014,0.081,2.671,2.9,5.428,2.602
2009-356,0.002,0.527,4.428,1.029,0.6,0.672,0.014,0.081,2.675,2.985,5.114,2.444
2009-357,0.002,0.526,4.239,1.028,0.599,0.669,0.014,0.076,2.675,2.836,5.289,2.025
2009-358,0.002,0.527,3.982,1.029,0.6,0.669,0.014,0.077,2.676,2.756,5.291,2.014
2009-359,0.002,0.528,3.991,1.03,0.601,0.671,0.014,0.077,2.875,2.482,5.494,2.116
2009-360,0.002,0.54,4.199,1.073,0.603,0.673,0.014,0.077,4.304,2.454,5.501,2.132
2009-361,0.002,0.54,4.211,1.069,0.605,0.675,0.015,0.078,4.422,2.388,5.516,2.158
2009-362,0.002,0.543,4.222,1.076,0.609,0.679,0.015,0.079,3.859,2.415,5.529,2.166
2009-363,0.002,0.546,3.989,1.082,0.613,0.683,0.015,0.08,3.625,2.421,5.546,2.168
2009-364,0.002,0.548,4.255,1.081,0.618,0.688,0.015,0.081,3.581,2.519,5.558,2.097
2009-365,0.002,0.553,4.161,1.089,0.624,0.694,0.016,0.082,2.929,2.512,5.568,2.066
2009-366,0.003,0.558,4.176,1.097,0.63,0.7,0.016,0.084,2.942,2.522,5.592,2.074
2010-001,0.003,0.563,4.319,1.107,0.638,0.708,0.017,0.086,3.04,2.625,5.62,2.14
2010-002,0.003,0.565,4.269,1.101,0.646,0.717,0.017,0.088,3.021,2.494,5.65,2.21
2010-003,0.003,0.572,4.25,1.113,0.655,0.726,0.018,0.09,3.017,2.347,5.683,2.28
2010-004,0.003,0.58,4.331,1.125,0.664,0.736,0.019,0.093,3.062,2.473,5.719,2.355
2010-005,0.003,0.588,4.385,1.139,0.675,0.747,0.02,0.096,3.083,2.498,5.735,2.41
2010-006,0.003,0.597,4.451,1.153,0.687,0.76,0.021,0.099,3.137,2.457,5.777,2.515
2010-007,0.004,0.606,4.284,1.169,0.699,0.772,0.022,0.102,3.149,2.283,5.842,2.419
2010-008,0.004,0.616,4.166,1.186,0.712,0.786,0.023,0.106,2.856,2.347,5.889,2.537
2010-009,0.004,0.627,4.314,1.203,0.726,0.801,0.024,0.11,2.881,2.43,5.939,2.567
2010-010,0.004,0.639,4.504,1.222,0.741,0.817,0.026,0.114,3.1,2.487,6.003,2.858
2010-011,0.005,0.651,4.597,1.242,0.757,0.833,0.027,0.119,3.136,2.607,6.059,2.915
2010-012,0.005,0.662,4.736,1.255,0.774,0.851,0.029,0.124,3.153,2.705,6.125,3.029
2010-013,0.005,0.678,4.88,1.277,0.801,0.87,0.031,0.129,3.246,2.941,6.187,3.117
2010-014,0.006,0.693,5.048,1.301,0.819,0.891,0.033,0.135,3.475,3.17,6.252,3.164
2010-015,0.006,0.708,5.208,1.325,0.839,0.912,0.035,0.142,3.639,3.379,6.319,3.246
2010-016,0.007,0.724,5.331,1.351,0.861,0.935,0.038,0.149,3.893,3.523,6.39,3.337
2010-017,0.007,0.743,5.449,1.378,0.888,0.958,0.04,0.156,4.074,3.647,6.463,3.435
2010-018,0.008,0.761,5.616,1.407,0.911,0.988,0.043,0.164,4.515,3.802,6.54,3.59
2010-019,0.008,0.786,5.672,1.436,0.953,1.025,0.047,0.172,4.713,3.947,6.567,3.51
2010-020,0.009,0.807,5.668,1.47,0.981,1.053,0.05,0.181,4.876,4.022,6.624,3.348
2010-021,0.01,0.824,5.647,1.502,0.99,1.081,0.054,0.187,4.79,4.072,6.717,3.196
2010-022,0.011,0.844,5.524,1.538,1.009,1.111,0.058,0.197,4.709,4.122,6.188,2.685
2010-023,0.012,0.865,5.602,1.57,1.034,1.143,0.063,0.208,4.892,4.21,6.281,2.717
2010-024,0.013,0.888,5.695,1.606,1.064,1.176,0.067,0.219,5.056,4.372,6.379,2.8
2010-025,0.014,0.92,5.828,1.671,1.096,1.211,0.073,0.232,6.242,4.357,6.449,2.817
2010-026,0.015,0.939,5.673,1.682,1.129,1.247,0.078,0.245,5.329,4.044,6.54,2.868
2010-027,0.017,0.975,5.901,1.756,1.164,1.284,0.084,0.259,5.731,4.29,6.657,2.99
2010-028,0.018,1,5.509,1.789,1.2,1.32,0.091,0.274,4.744,3.973,6.92,2.81
2010-029,0.02,1.022,4.993,1.805,1.237,1.361,0.098,0.29,4.758,3.157,7.02,2.906
2010-030,0.022,1.052,4.931,1.849,1.275,1.403,0.106,0.307,4.204,3.345,7.123,3.093
2010-031,0.024,1.08,5.138,1.883,1.315,1.444,0.114,0.325,4.477,3.501,7.364,3.124
2010-032,0.026,1.112,5.194,1.93,1.357,1.489,0.123,0.344,4.548,3.38,7.514,3.218
2010-033,0.028,1.146,5.363,1.978,1.4,1.536,0.133,0.365,4.543,3.549,7.658,3.324
2010-034,0.031,1.18,5.707,2.028,1.444,1.584,0.143,0.386,4.421,4.049,7.774,3.5
2010-035,0.034,1.216,5.562,2.078,1.489,1.635,0.154,0.409,4.504,3.554,7.893,3.518
2010-036,0.037,1.254,5.547,2.131,1.536,1.687,0.166,0.433,4.351,3.178,8.015,3.616
2010-037,0.04,1.292,5.808,2.184,1.585,1.741,0.178,0.458,4.258,3.443,8.139,3.699
2010-038,0.044,1.332,5.87,2.24,1.635,1.796,0.191,0.484,4.4,3.338,8.266,3.746
2010-039,0.048,1.38,5.812,2.319,1.686,1.858,0.206,0.512,4.617,3.114,8.445,3.876
2010-040,0.053,1.416,5.978,2.354,1.739,1.914,0.221,0.542,4.69,3.515,8.807,3.897
2010-041,0.057,1.459,5.947,2.414,1.794,1.975,0.237,0.572,4.424,3.558,8.829,3.92
2010-042,0.062,1.504,5.908,2.475,1.85,2.037,0.253,0.605,4.495,3.873,8.968,4.122
2010-043,0.068,1.551,5.815,2.537,1.907,2.102,0.271,0.638,4.567,4.1,9.214,4.306
2010-044,0.074,1.598,6.011,2.601,1.966,2.167,0.29,0.674,4.64,4.555,9.376,4.538
2010-045,0.08,1.647,6.61,2.666,2.027,2.235,0.31,0.711,4.728,4.539,9.523,4.514
2010-046,0.087,1.698,6.757,2.732,2.089,2.305,0.331,0.749,4.804,4.635,9.709,4.68
2010-047,0.095,1.749,6.952,2.8,2.152,2.373,0.353,0.789,4.88,4.804,9.862,4.893
2010-048,0.103,1.804,7.334,2.87,2.217,2.459,0.377,0.831,4.958,5.175,10.041,5.257
2010-049,0.112,1.861,7.4,2.94,2.283,2.546,0.401,0.874,5.042,5.022,10.198,5.268
2010-050,0.121,1.919,7.514,3.012,2.351,2.638,0.427,0.919,5.142,4.926,10.372,5.349
2010-051,0.131,1.976,7.683,3.085,2.42,2.718,0.454,0.966,5.243,4.975,10.534,5.504
2010-052,0.142,2.038,7.615,3.169,2.491,2.806,0.482,1.015,5.416,4.701,10.698,5.301
2010-053,0.153,2.096,7.489,3.236,2.563,2.889,0.511,1.065,5.496,4.756,10.863,4.933
2010-054,0.166,2.153,7.34,3.313,2.636,2.943,0.541,1.117,5.664,4.975,11.031,5.169
2010-055,0.179,2.217,7.993,3.393,2.711,3.031,0.573,1.17,5.799,5.474,11.2,5.527
2010-056,0.193,2.281,8.157,3.473,2.787,3.119,0.606,1.225,5.899,5.807,11.371,5.528
2010-057,0.207,2.352,8.486,3.553,2.885,3.211,0.641,1.282,5.938,5.98,11.544,5.918
2010-058,0.223,2.418,8.669,3.635,2.965,3.295,0.677,1.369,6.051,6.278,11.701,5.969
2010-059,0.24,2.487,8.857,3.719,3.045,3.388,0.714,1.432,6.154,6.424,11.876,6.256
2010-060,0.258,2.559,8.926,3.804,3.135,3.486,0.752,1.495,6.376,6.194,12.053,6.505
2010-061,0.277,2.633,9.2,3.889,3.231,3.582,0.792,1.559,6.651,6.952,12.232,6.675
2010-062,0.296,2.721,9.762,3.975,3.343,3.741,0.833,1.626,6.991,7.665,12.431,7.324
2010-063,0.318,2.814,10.028,4.106,3.458,3.845,0.875,1.694,7.379,7.892,12.612,7.555
2010-064,0.34,2.899,10.125,4.193,3.55,4.005,0.919,1.763,7.564,8.091,12.795,7.339
2010-065,0.363,2.998,10.242,4.304,3.669,4.175,0.964,1.834,7.738,8.047,12.978,7.54
2010-066,0.388,3.085,10.483,4.406,3.782,4.282,1.011,1.907,7.879,8.365,13.163,7.813
2010-067,0.414,3.178,10.764,4.522,3.915,4.369,1.059,1.981,8.319,8.778,13.332,8.103
2010-068,0.441,3.268,10.859,4.65,4.01,4.479,1.108,2.057,8.821,9.034,13.499,7.669
2010-069,0.469,3.329,11.187,4.804,3.941,4.616,1.159,2.134,10.048,9.375,13.624,7.85
2010-070,0.499,3.434,11.044,4.93,4.09,4.729,1.21,2.213,10.053,8.948,13.811,7.79
2010-071,0.53,3.58,11.786,5.059,4.391,4.854,1.264,2.293,11.176,10.18,13.998,8.323
2010-072,0.563,3.665,11.946,5.153,4.491,4.971,1.318,2.348,11.589,10.543,13.954,8.135
2010-073,0.597,3.903,12.406,5.306,5.086,5.18,1.374,2.43,12.587,11.195,14.267,8.506
2010-074,0.632,4.261,12.625,5.815,5.753,5.431,1.431,2.513,12.877,11.44,14.527,8.829
2010-075,0.669,4.381,12.964,6.064,5.816,5.554,1.489,2.598,13.429,11.942,14.716,9.14
2010-076,0.707,4.548,13.467,6.2,6.187,5.679,1.549,2.684,13.641,12.632,14.905,9.745
2010-077,0.746,4.518,13.79,6.226,5.893,5.791,1.61,2.771,13.901,12.958,15.326,10.213
2010-078,0.787,4.48,12.962,6.351,5.477,5.862,1.672,2.86,14.457,10.789,15.571,9.504
2010-079,0.829,4.76,12.502,6.635,6.122,6.02,1.735,2.95,14.822,9.798,15.764,9.958
2010-080,0.873,4.878,13.543,6.752,6.29,6.179,1.799,3.04,15.024,11.712,15.957,10.477
2010-081,0.918,5.031,14.536,6.867,6.61,6.315,1.865,3.132,15.218,13.785,16.15,10.88
2010-082,0.964,5.143,14.892,6.987,6.759,6.458,1.931,3.225,15.399,14.58,16.342,10.877
2010-083,1.012,5.267,14.874,7.103,6.847,6.79,1.998,3.318,15.615,14.308,16.534,10.954
2010-084,1.061,5.314,15.162,7.163,6.797,6.928,2.067,3.413,15.928,14.674,16.686,11.285
2010-085,1.111,5.481,15.398,7.447,6.99,7.063,2.136,3.509,15.295,15.06,16.877,11.608
2010-086,1.162,5.614,15.827,7.51,7.283,7.198,2.207,3.605,16.489,15.699,17.068,11.843
2010-087,1.214,5.686,16.005,7.432,7.473,7.344,2.278,3.702,16.673,15.755,17.258,12.203
2010-088,1.268,5.981,16.269,7.508,8.379,7.516,2.35,3.8,17.211,16.076,17.447,12.443
2010-089,1.323,6.356,16.431,7.71,9.448,7.728,2.423,3.901,17.396,16.388,17.636,12.389
2010-090,1.378,6.868,16.593,8.339,10.651,7.87,2.497,3.998,17.581,16.692,17.824,12.359
2010-091,1.435,7.063,16.377,8.576,11,8.006,2.571,4.098,17.868,16.728,17.986,11.193
2010-092,1.493,7.167,16.252,8.794,11.234,7.741,2.647,4.198,18.181,16.211,17.165,11.217
2010-093,1.552,7.483,16.328,9.772,11.313,7.809,2.722,4.299,18.471,16.743,17.339,10.513
2010-094,1.612,7.653,16.692,10.062,11.504,7.942,2.799,4.404,18.697,17.279,17.375,10.974
2010-095,1.673,7.819,16.919,10.2,11.838,8.075,2.876,4.505,18.898,17.486,16.944,11.41
2010-096,1.735,7.976,17.039,10.447,11.944,8.341,2.954,4.608,19.581,17.681,17.056,11.217
2010-097,1.797,8.235,17.448,10.605,12.632,8.472,3.032,4.71,19.955,17.548,18.495,12.564
2010-098,1.861,8.4,17.848,10.678,13.24,8.256,3.11,4.813,20.134,18.051,18.644,13.226
2010-099,1.925,7.692,18.079,9.809,11.147,8.375,3.19,4.915,20.321,18.228,18.961,13.643
2010-100,1.99,8.303,18.323,10.667,12.293,8.855,3.269,5.018,20.506,18.5,19.132,14.005
2010-101,2.055,8.526,18.489,10.974,12.664,8.998,3.349,5.121,20.698,18.666,19.329,14.189
2010-102,2.122,8.905,18.649,11.624,13.307,9.129,3.429,5.225,20.88,18.829,19.444,14.375
2010-103,2.189,9.231,18.679,12.166,13.868,9.227,3.509,5.328,21.069,18.832,19.584,14.268
2010-104,2.256,9.701,18.934,12.69,14.396,10.278,3.644,5.477,21.302,19.056,19.904,14.714
2010-105,2.324,9.969,19.18,12.798,15.109,10.516,3.725,5.585,21.479,19.201,20.094,15.262
2010-106,2.393,9.986,19.392,12.806,14.99,10.631,3.806,5.688,21.655,19.433,20.309,15.558
2010-107,2.462,10.089,19.558,12.106,15.827,10.951,3.912,5.792,21.362,19.594,20.496,15.926
2010-108,2.532,10.585,19.74,12.813,16.479,11.617,4.054,5.895,21.04,19.82,20.867,16.254
2010-109,2.602,10.958,19.919,13.424,17.081,11.837,4.137,5.997,21.41,19.979,21.079,16.467
2010-110,2.672,11.427,20.231,13.759,17.666,12.674,4.466,6.328,22.385,20.143,21.237,17.012
2010-111,2.806,11.513,20.164,13.584,17.876,12.829,4.638,6.462,22.561,20.293,21.394,16.336
2010-112,2.878,11.678,20.309,13.769,18.084,13.061,4.726,6.568,22.764,20.442,21.219,16.537
2010-113,2.923,11.698,20.395,14.445,17.114,13.357,4.834,6.922,22.926,20.581,21.782,16.455
2010-114,2.995,11.606,20.608,14.789,16.211,13.688,4.81,7.296,23.086,20.503,21.933,17.205
2010-115,3.067,11.983,20.81,15.011,17.043,13.844,5.072,7.408,23.244,20.791,22.083,17.423
2010-116,3.142,12.304,21.083,15.226,17.236,14.176,5.567,7.52,23.399,20.941,22.287,18.086
2010-117,3.209,12.741,21.174,15.349,18.634,14.33,5.667,7.63,22.636,21.107,22.432,18.324
2010-118,3.282,13.138,21.26,15.608,19.314,15.006,5.844,8.946,21.905,21.255,22.575,18.558
2010-119,3.354,13.213,21.095,15.717,19.381,14.992,5.939,9.077,22.786,21.346,22.688,17.381
2010-120,3.426,13.443,21.135,15.957,19.51,15.093,6.289,9.239,23.657,21.152,22.797,17.397
2010-121,3.498,13.647,21.478,16.228,19.726,15.23,6.463,9.338,23.798,21.528,22.904,18.07
2010-122,3.57,13.85,21.65,16.541,20.032,15.301,6.56,9.453,24.271,21.712,23.037,18.227
2010-123,3.642,14.081,21.832,16.853,20.435,15.241,6.725,10.21,24.42,21.885,23.109,18.551
2010-124,3.713,13.871,22.011,17.002,19.642,15.031,6.66,10.415,24.556,22.03,23.265,18.898
2010-125,3.784,13.896,21.978,17.144,19.386,15.109,6.776,10.77,24.689,21.962,23.391,18.7
2010-126,3.854,13.901,21.604,16.734,19.565,15.28,6.91,10.899,24.82,21.357,23.514,17.893
2010-127,3.924,14.066,21.679,16.315,20.356,15.494,7.053,11.027,24.948,21.202,23.635,18.248
2010-128,3.996,13.847,22.182,15.057,20.338,15.885,7.246,11.181,25.074,22.021,23.782,18.967
2010-129,4.065,14.288,22.497,15.853,20.875,16.32,7.339,11.353,25.197,22.501,23.898,19.42
2010-130,4.133,14.539,22.647,15.99,21.535,16.421,7.445,11.567,25.055,22.717,23.979,19.663
2010-131,4.201,15.101,22.632,17.418,21.8,16.701,7.661,11.69,25.336,22.823,24.002,19.285
2010-132,4.267,15.4,22.346,18.204,21.961,16.831,7.751,11.811,25.45,22.153,24.143,18.927
2010-133,4.333,15.718,22.72,18.534,22.328,17.018,8.08,11.956,25.674,22.746,24.459,19.408
2010-134,4.424,15.878,22.995,18.64,22.517,17.194,8.253,12.073,25.783,23.096,24.563,19.894
2010-135,4.65,16.057,23.161,18.889,22.679,17.353,8.399,13.148,25.878,23.228,24.664,20.251
2010-136,4.727,16.381,23.373,19.195,22.829,18.511,8.504,13.795,25.983,23.339,24.795,20.813
2010-137,4.876,16.558,23.488,19.416,22.97,18.792,8.627,14.124,26.096,23.436,24.891,21.015
2010-138,4.953,16.783,23.65,19.7,23.113,19.372,8.712,14.553,26.183,23.529,25.017,21.415
2010-139,5.015,16.9,23.726,19.818,23.253,19.497,8.809,15.422,26.279,23.615,25.109,21.491
2010-140,5.077,17.239,23.845,20.758,23.4,19.609,8.911,15.628,26.372,23.708,25.165,21.734
2010-141,5.14,17.398,23.92,20.87,23.533,19.703,9.155,16.088,26.462,23.79,25.25,21.814
2010-142,5.199,17.193,23.887,20.882,22.611,19.581,9.269,16.212,26.55,23.869,25.334,21.479
2010-143,5.256,17.291,23.793,21.055,22.628,19.691,9.362,16.333,26.634,23.946,25.414,20.908
2010-144,5.312,17.618,24.021,21.266,23.378,20.058,9.453,16.561,26.716,24.021,25.492,21.616
2010-145,5.394,17.927,24.08,21.421,23.922,20.847,9.503,17.221,26.808,24.092,25.567,21.659
2010-146,5.461,18.132,24.148,21.673,24.035,20.953,9.781,18.227,26.885,24.162,25.64,21.746
2010-147,5.513,18.248,24.239,21.81,24.145,21.056,9.89,18.335,26.958,24.228,25.71,21.934
2010-148,5.602,18.37,24.295,21.982,24.251,21.165,9.991,18.516,27.029,24.292,25.777,21.989
2010-149,5.727,18.483,24.344,22.128,24.188,21.584,10.075,18.726,27.097,24.357,25.842,22.017
2010-150,5.789,18.459,24.408,21.744,24.381,21.609,10.154,18.932,27.163,24.416,25.904,22.121
2010-151,5.835,18.733,24.459,22.165,24.693,21.704,10.36,19.262,27.225,24.473,25.963,22.173
2010-152,5.879,18.847,24.517,22.336,24.785,21.79,10.46,19.391,27.285,24.527,26.02,22.263
2010-153,5.936,19.108,24.563,22.587,24.878,22.378,10.71,19.603,27.342,24.578,26.074,22.316
2010-154,5.984,19.358,24.612,23.212,24.961,22.568,10.811,19.697,27.396,24.627,26.125,22.383
2010-155,6.027,19.535,24.733,23.474,25.04,22.856,10.946,20.006,27.447,24.674,26.174,22.74
2010-156,6.056,19.747,24.806,23.535,25.235,23.506,11.099,20.172,27.496,24.718,26.22,22.918
2010-157,6.091,19.806,24.842,23.599,25.306,23.557,11.149,20.254,27.541,24.759,26.263,22.954
2010-158,6.124,19.911,24.883,23.772,25.374,23.625,11.245,20.668,27.584,24.798,26.304,23.014
2010-159,6.205,19.973,24.91,23.848,25.359,23.518,11.423,20.842,27.624,24.834,26.342,23.029
2010-160,6.323,20.189,24.94,24.458,25.452,23.588,11.483,21.113,27.661,24.868,26.377,23.063
2010-161,6.351,20.382,24.991,24.849,25.553,23.728,11.609,21.577,27.696,24.899,26.41,23.184
2010-162,6.368,20.485,25.025,24.974,25.604,23.779,11.755,21.721,27.727,24.928,26.44,23.246
2010-163,6.443,20.592,25.041,25.034,25.669,23.852,11.946,21.778,27.756,24.954,26.467,23.242
2010-164,6.517,21.138,25.062,25.07,25.772,23.91,13.43,21.859,27.782,24.978,26.492,23.267
2010-165,6.537,21.182,25.091,25.125,25.81,23.974,13.463,22.009,27.806,24.999,26.514,23.328
2010-166,6.554,21.302,25.108,25.175,25.843,23.971,13.755,22.103,27.826,25.017,26.533,23.349
2010-167,6.774,21.86,25.122,25.229,25.912,24,15.298,22.141,27.844,25.033,26.55,23.363
2010-168,6.713,21.907,25.133,25.393,25.937,24.026,15.279,22.173,27.859,25.047,26.564,23.375
2010-169,6.743,22.042,25.172,25.714,25.958,24.129,15.363,22.49,27.871,25.058,26.576,23.501
2010-170,6.806,22.103,25.18,25.725,25.974,24.157,15.51,22.517,27.88,25.066,26.584,23.513
2010-171,6.813,22.176,25.185,25.735,25.987,24.185,15.697,22.577,27.887,25.072,26.591,23.518
2010-172,6.817,22.211,25.189,25.742,25.994,24.23,15.77,22.604,27.89,25.076,26.594,23.525
2010-173,6.891,22.281,25.189,25.808,25.998,24.434,15.833,22.61,27.891,25.077,26.595,23.525
2010-174,7.236,22.442,25.187,25.868,25.997,24.434,16.265,22.61,27.889,25.075,26.593,23.524
2010-175,7.303,22.505,25.183,25.863,25.992,24.454,16.449,22.59,27.885,25.071,26.589,23.52
2010-176,7.33,22.565,25.185,25.911,25.983,24.46,16.592,22.579,27.877,25.064,26.582,23.547
2010-177,7.344,22.834,25.182,25.898,25.969,24.446,17.415,22.626,27.867,25.055,26.572,23.559
2010-178,7.331,23.108,25.181,26.073,25.951,24.428,18.107,22.605,27.854,25.043,26.56,23.584
2010-179,7.425,23.163,25.165,26.111,25.928,24.41,18.265,22.578,27.839,25.029,26.545,23.56
2010-180,7.515,23.213,25.15,26.087,25.902,24.42,18.448,22.546,27.82,25.012,26.528,23.545
2010-181,7.522,23.417,25.133,26.202,25.871,24.394,18.993,22.508,27.799,24.993,26.507,23.527
2010-182,7.514,23.502,25.113,26.166,25.835,24.358,19.314,22.465,27.775,24.972,26.485,23.508
2010-183,7.508,23.504,25.097,26.024,25.796,24.318,19.479,22.417,27.748,24.947,26.459,23.507
2010-184,7.483,23.472,25.077,25.984,25.752,24.274,19.467,22.364,27.719,24.921,26.431,23.5
2010-185,7.456,23.495,25.053,25.94,25.704,24.618,19.455,22.305,27.687,24.892,26.401,23.481
2010-186,7.426,23.489,25.03,25.893,25.652,24.607,19.519,22.241,27.652,24.86,26.368,23.473
2010-187,7.398,23.497,25,25.842,25.595,24.591,19.63,22.172,27.614,24.826,26.332,23.442
2010-188,7.437,23.461,24.967,25.799,25.535,24.533,19.628,22.098,27.573,24.789,26.293,23.409
2010-189,7.412,23.518,24.936,25.753,25.47,24.767,19.778,22.119,27.53,24.75,26.252,23.389
2010-190,7.391,23.466,24.899,25.691,25.401,24.69,19.758,22.136,27.484,24.708,26.208,23.351
2010-191,7.395,23.46,24.86,25.773,25.328,24.707,19.721,22.045,27.436,24.664,26.162,23.311
2010-192,7.365,23.385,24.82,25.703,25.251,24.632,19.645,21.95,27.384,24.618,26.113,23.273
2010-193,7.326,23.298,24.776,25.631,25.17,24.547,19.541,21.851,27.33,24.569,26.062,23.228
2010-194,7.277,23.207,24.731,25.553,25.085,24.462,19.432,21.746,27.273,24.517,26.008,23.186
2010-195,7.251,23.181,24.684,25.477,24.996,24.399,19.508,21.637,27.213,24.463,25.951,23.141
2010-196,7.248,23.105,24.634,25.392,24.903,24.301,19.46,21.538,27.151,24.407,25.892,23.089
2010-197,7.231,22.998,24.579,25.306,24.806,24.194,19.331,21.414,27.086,24.348,25.83,23.028
2010-198,7.175,22.893,24.524,25.213,24.705,24.118,19.201,21.345,27.018,24.286,25.766,22.972
2010-199,7.114,22.781,24.473,25.117,24.6,24.012,19.066,21.217,26.947,24.222,25.699,22.937
2010-200,7.05,22.704,24.414,25.017,24.491,24.166,18.932,21.113,26.874,24.156,25.629,22.877
2010-201,6.984,22.543,24.353,24.914,24.379,24.046,18.671,20.977,26.798,24.087,25.557,22.815
2010-202,6.987,22.436,24.289,24.807,24.263,23.923,18.58,20.836,26.719,24.016,25.482,22.75
2010-203,6.892,22.307,24.223,24.697,24.143,23.796,18.428,20.691,26.638,23.943,25.405,22.683
2010-204,6.871,22.178,24.155,24.58,24.019,23.689,18.274,20.542,26.554,23.866,25.325,22.614
2010-205,6.797,22.042,24.085,24.463,23.892,23.558,18.114,20.389,26.467,23.788,25.243,22.542
2010-206,6.72,21.901,24.013,24.343,23.761,23.42,17.951,20.232,26.378,23.707,25.158,22.469
2010-207,6.642,21.76,23.938,24.219,23.627,23.296,17.784,20.071,26.286,23.624,25.071,22.393
2010-208,6.563,21.613,23.861,24.092,23.489,23.15,17.613,19.906,26.191,23.538,24.981,22.315
2010-209,6.513,21.464,23.782,23.961,23.347,23.005,17.442,19.738,26.094,23.45,24.888,22.235
2010-210,6.429,21.311,23.701,23.85,23.203,22.856,17.249,19.566,25.994,23.359,24.793,22.152
2010-211,6.353,21.176,23.617,23.713,23.054,22.699,17.133,19.395,25.891,23.267,24.696,22.068
2010-212,6.316,21.005,23.532,23.573,22.903,22.534,16.92,19.216,25.786,23.171,24.596,21.981
2010-213,6.236,20.842,23.445,23.429,22.748,22.371,16.736,19.033,25.678,23.074,24.493,21.895
2010-214,6.146,20.674,23.355,23.283,22.59,22.204,16.544,18.848,25.567,22.974,24.389,21.804
2010-215,6.054,20.503,23.263,23.133,22.429,22.029,16.349,18.663,25.454,22.872,24.281,21.711
2010-216,5.962,20.326,23.168,22.981,22.265,21.838,16.152,18.471,25.338,22.767,24.171,21.615
2010-217,5.868,20.16,23.072,22.826,22.098,21.724,15.955,18.281,25.22,22.66,24.059,21.518
2010-218,5.856,19.969,22.973,22.667,21.927,21.545,15.719,18.083,25.099,22.551,23.944,21.418
2010-219,5.79,19.777,22.872,22.506,21.754,21.362,15.482,17.874,24.976,22.439,23.827,21.316
2010-220,5.652,19.593,22.769,22.342,21.578,21.176,15.278,17.629,24.85,22.326,23.708,21.213
2010-221,5.539,19.394,22.664,22.175,21.399,20.988,15.036,17.424,24.722,22.21,23.586,21.107
2010-222,5.431,19.216,22.557,22.006,21.217,20.796,14.858,17.216,24.591,22.092,23.462,20.998
2010-223,5.331,19.025,22.448,21.834,21.033,20.602,14.65,17.005,24.458,21.971,23.335,20.888
2010-224,5.238,18.835,22.336,21.659,20.845,20.406,14.448,16.831,24.322,21.849,23.207,20.776
2010-225,5.136,18.649,22.223,21.482,20.656,20.211,14.262,16.615,24.184,21.724,23.076,20.662
2010-226,5.035,18.45,22.107,21.302,20.464,20.009,14.043,16.398,24.043,21.597,22.942,20.546
2010-227,4.933,18.249,21.99,21.12,20.269,19.805,13.823,16.174,23.9,21.468,22.835,20.428
2010-228,4.838,18.052,21.871,20.935,20.072,19.615,13.615,15.953,23.755,21.337,22.697,20.308
2010-229,4.684,17.849,21.749,20.748,19.873,19.422,13.393,15.756,23.608,21.203,22.557,20.185
2010-230,4.583,17.642,21.626,20.559,19.671,19.211,13.17,15.531,23.458,21.068,22.415,20.062
2010-231,4.495,17.436,21.5,20.368,19.467,18.998,12.954,15.296,23.306,20.931,22.27,19.936
2010-232,4.401,17.226,21.372,20.174,19.261,18.782,12.728,15.067,23.151,20.792,22.124,19.808
2010-233,4.296,17.013,21.243,19.978,19.053,18.565,12.5,14.837,22.995,20.65,21.975,19.678
2010-234,4.194,16.8,21.112,19.781,18.844,18.346,12.276,14.606,22.836,20.507,21.824,19.547
2010-235,4.093,16.584,20.978,19.581,18.632,18.125,12.046,14.373,22.676,20.362,21.671,19.414
2010-236,3.992,16.368,20.843,19.38,18.419,17.914,11.816,14.14,22.513,20.215,21.517,19.279
2010-237,3.892,16.151,20.706,19.176,18.203,17.689,11.588,13.905,22.348,20.067,21.36,19.142
2010-238,3.78,15.931,20.567,18.971,17.987,17.464,11.357,13.67,22.182,19.916,21.201,19.004
2010-239,3.63,15.71,20.427,18.764,17.768,17.236,11.127,13.434,22.013,19.764,21.041,18.864
